z,hs
769.6156005859375,198.37391968150018
770.3294677734375,193.969730667446
770.643310546875,187.6218467057148
770.884033203125,186.95221768823987
771.3106079101562,184.24979378321922
771.5216674804688,178.0862383802663
771.5199584960938,174.48884015028975
771.5635375976562,199.71124165793867
771.85546875,202.09115355196184
771.91259765625,175.7973569638325
771.8883666992188,208.40971731318672
772.0,202.20574712106963
772.0172119140625,159.4391164671623
771.9619750976562,158.02749611131983
771.8829956054688,154.66149061050328
771.35009765625,158.0257413095671
771.2687377929688,164.22055396115587
771.232666015625,165.27193263703472
771.342041015625,159.40393401291018
771.5965576171875,142.1830177763559
771.4839477539062,135.97105370349325
771.2966918945312,157.4958240646245
771.4960327148438,172.62845132121817
771.5654296875,171.9828485011183
771.6041870117188,220.76897714418678
771.479248046875,242.72144628677046
771.3919677734375,191.00345937729415
771.2401123046875,158.36583806196836
771.3130493164062,168.96837334673504
771.2747802734375,172.95712089175677
771.4196166992188,175.79062672146148
771.6425170898438,175.2223135686456
771.6687622070312,173.25855976269185
771.6348876953125,177.1250054264701
772.0806884765625,178.6648135956743
772.0215454101562,177.12942553496413
772.16015625,178.5944127702685
772.3629150390625,181.69310070905047
772.7862548828125,179.20280308163785
772.7135620117188,177.10602334391305
772.8936157226562,178.54333248373732
772.9273681640625,177.79560468649285
773.0087280273438,180.66868502592527
773.1229248046875,186.06276639008948
773.2958984375,176.86314350776985
772.5015258789062,167.98638547525667
772.34326171875,174.21790072921414
772.3469848632812,163.61704321677857
771.8822021484375,146.958002917692
770.619384765625,162.4346512508026
770.56396484375,180.96919974238546
770.5796508789062,182.1241618997373
770.593505859375,182.40301741470668
770.3646240234375,181.01064498719677
770.3264770507812,181.05247609871054
770.2791137695312,180.90464719031763
770.2222900390625,186.5677551697751
770.4243774414062,191.84834617939302
770.4815063476562,194.00800534557072
770.7399291992188,204.58769473318165
771.564453125,219.89143836725506
772.8284301757812,233.91113883192287
774.7205200195312,238.79271614928336
776.4814453125,224.88066905353716
776.9156494140625,204.36631758516248
777.3801879882812,201.28754365903671
777.7748413085938,194.80501620013425
777.6758422851562,185.35391190118304
777.6458740234375,178.1650604022172
777.2965698242188,176.03748945663654
777.3291015625,176.04359063227855
777.34814453125,175.93716988816632
777.1768798828125,174.48870873256283
776.9114990234375,170.8979739094349
776.6771850585938,169.95230122759656
776.4620361328125,169.78939756855908
776.357177734375,170.75801441973516
776.3871459960938,169.986177436435
776.268310546875,166.02712188804603
776.1553344726562,165.45592890337537
776.1439819335938,164.86326377271052
775.9815673828125,160.9051584192634
775.6329956054688,158.65527091901194
775.505126953125,157.46744198227162
775.2897338867188,156.00791807160135
775.0848388671875,155.73475877175278
774.7716674804688,155.86977872071623
774.5259399414062,153.86150390738618
774.0149536132812,152.15398994856523
773.6117553710938,155.36839389337186
773.6234130859375,154.2843722107116
773.0913696289062,152.1665197643262
772.7140502929688,154.32787680155153
772.403076171875,153.7167172689403
771.802978515625,154.87082212078224
771.5131225585938,156.26513909268627
771.2850952148438,155.4524116425383
770.7892456054688,156.19447222461588
770.2938842773438,156.55401204136248
769.7703857421875,155.49516369977323
769.1859130859375,158.82193819268102
768.6947631835938,161.13006036831402
768.1961669921875,162.20824052246707
767.8054809570312,166.46983022477653
767.4824829101562,169.13838768033793
767.2189331054688,170.9353971370066
766.96630859375,171.13497895459219
766.775390625,171.45230424458396
766.626220703125,171.78452917667343
766.418212890625,171.4666114078728
766.4257202148438,171.98502660996562
766.3297729492188,172.46956215348763
766.2510375976562,173.19999136278008
766.1721801757812,175.11381479903193
766.3090209960938,159.1006099787651
764.5851440429688,154.70635685348856
763.9959716796875,173.28422892083827
764.0052490234375,176.98804074258433
763.7088012695312,177.6604630044711
763.533935546875,179.0886485502756
763.394775390625,177.2097628584489
763.0894165039062,177.53713391504076
762.9976806640625,181.92859631376123
763.006103515625,180.2501944277656
762.5568237304688,177.30046171687806
762.2728271484375,179.37103857887968
761.9873657226562,183.26614419991154
761.921630859375,190.75028971651813
761.7529907226562,195.36482307743813
761.7359619140625,197.97902776927592
762.1477661132812,197.62609107131908
762.0789184570312,192.79777490970997
761.9446411132812,187.80932340136252
761.6815795898438,189.34388381010996
761.6609497070312,192.84453129438393
761.5684814453125,193.09424336114702
761.5764770507812,194.27576493358106
761.6031494140625,196.01774846885158
761.3857421875,198.6683461793253
761.5079345703125,198.11228444798905
761.5410766601562,198.93557061362753
761.5776977539062,202.66325984025926
761.756591796875,202.8740589855617
761.76611328125,204.47378130306927
761.74853515625,219.61315457680303
762.4829711914062,235.326988360695
763.9141845703125,232.77476038995727
764.3351440429688,219.6118568442231
764.419677734375,222.77985141608485
765.73193359375,223.48683476387959
766.20751953125,209.4737165984866
766.2001953125,198.57882608214067
766.1732788085938,194.95878398113757
766.01318359375,193.15095536979456
765.9164428710938,193.7916962955015
765.9155883789062,195.97271277258102
765.7592163085938,196.15196042374168
765.737548828125,196.66415603571673
765.9931030273438,193.93390183671943
765.9197998046875,189.32143361721165
765.5090942382812,186.77322759945255
765.2531127929688,185.87444418282286
765.0266723632812,187.67424113653377
764.88232421875,188.91354956266605
764.6749267578125,187.13879417368136
764.3250122070312,182.35059245484948
763.7611694335938,177.16425616374727
763.25439453125,174.97784748214326
762.7770385742188,165.38830534376245
761.8765258789062,159.6697506832213
761.038330078125,166.8145761938725
760.5543212890625,165.08287683138755
759.763916015625,157.60714524845977
758.8287353515625,151.83536896693516
757.7007446289062,148.16982883059248
756.685791015625,150.50421539929914
755.6612548828125,156.1791211644548
754.9554443359375,155.68559516187636
753.8330688476562,158.73929129407438
753.0452880859375,169.1136009936933
752.58154296875,167.48741570914677
751.6548461914062,160.94087638078233
750.8048706054688,158.40613343726537
750.0147705078125,153.4799478470668
749.064453125,151.7219092450706
748.2354125976562,150.83227601524948
747.1747436523438,147.2531302484343
746.1795654296875,147.48691360487194
745.4035034179688,147.07061492958866
744.431884765625,0.0
764.5036010742188,0.0
764.6487426757812,189.47119975865624
764.94873046875,194.4199788403642
765.322509765625,195.71552211840486
765.641845703125,199.71507904243919
766.3403930664062,201.4544056126934
766.8661499023438,202.6406347010935
767.7203369140625,205.58782395257936
768.5768432617188,200.0098325846296
769.1209106445312,196.9089261004851
769.8521118164062,200.28259846595395
770.575439453125,194.43822205505583
770.5829467773438,186.71463745636177
770.7360229492188,185.53617517244834
771.0779418945312,181.20594344585604
771.1082153320312,176.69792278225114
771.2854614257812,176.24391349897363
771.432861328125,228.37160684496243
775.625,216.31902121993215
771.790771484375,134.6100658367568
771.4539794921875,223.63844376595952
777.4949951171875,197.0210872160706
770.8680419921875,105.82906067173103
770.9549560546875,161.5631932945319
770.9576416015625,162.90645336585226
770.904052734375,166.65850436229238
770.8845825195312,167.23791532425213
770.6533203125,166.44705546900138
770.75830078125,169.78676445168452
771.028076171875,166.76629519843925
770.88720703125,163.748567273486
770.9349365234375,224.38240329263084
771.0814819335938,246.2338696282497
771.1630859375,226.01188977235276
771.1934814453125,249.8309359138712
780.2525024414062,250.08327166391663
780.6600341796875,125.31492984840206
